ID,NAME,CLASSIFICATION,CONTEXT,IMPACT,DEGREE OF SEVERITY,EVALUATION,ALSO KNOWN AS,SAMPLE ILLUSTRATION #1,SAMPLE ILLUSTRATION #2,SAMPLE ILLUSTRATION #3,SAMPLE ILLUSTRATION #4,SAMPLE ILLUSTRATION #5,SAMPLE ILLUSTRATION #6,
11,Inconsistency,Run-Time,"Inconsistency uncertainty emerges in real-time within systems when there are tasks or operations of varying types, sizes, and frequencies being processed concurrently. This uncertainty is not limited to any specific system but can occur in any environment where diverse tasks are handled simultaneously. It is particularly prevalent in systems that must adapt to changing conditions and demands, where the inconsistency can arise from the dynamic nature of the inputs or tasks being processed.","The impact of inconsistency uncertainty manifests in the system's adaptability being challenged by fluctuating task characteristics, leading to potential bottlenecks and reduced throughput. This uncertainty complicates task scheduling, making optimization difficult. If not properly managed, the system's reliability can be degraded, as it may struggle to meet performance objectives. Inconsistency uncertainty, therefore, directly influences a system's operational efficiency and its adaptability to changing conditions.","MEDIUM -  The uncertainty may not directly impair the overall functionality of the system, but it can significantly impact its performance and efficiency. The severity can escalate depending on the system's ability to handle diverse tasks and its tolerance for variation in task characteristics. If the system is not well-equipped to manage such inconsistencies, it could lead to bottlenecks, decreased throughput, and an overall degradation in system performance. Therefore, while it may not cause system failure, it can compromise the system's effectiveness and responsiveness, which could be critical in time-sensitive or resource-intensive applications.","In Self-Adaptive Systems, there may be parameters or schedulers that control the number of concurrently executing tasks based on the current load and task characteristics. These mechanisms can help in maintaining the system's balance between parallelism and throughput. However, in systems without such adaptive mechanisms, inconsistency uncertainty can lead to performance overheads.",Varying details,"HADOOP - In a Hadoop cluster, there can be jobs of different types and sizes. The number of jobs may not be the same all the time. As per the data size of jobs, the time of completion of the jobs varies-- jobs with larger data sizes can take longer time to complete than a job with small data sizes. In the case of running jobs concurrently, the level of difficulties may increase as the number of jobs grows. Due to these uncertainties in jobs as per size, type, and number, there can have an impact on the performance(like throughput) of a Hadoop cluster. To address this uncertainty, if a proper measure isn't applied, then it can have an impact on the reliability of SAS.",,,,,,
12,Unpredictable Wireless Interference,Run-Time,"Unpredictable Wireless Interface uncertainty arises in the context of any wireless communication system. It occurs when there's an unpredictable interference in the wireless signal, which can happen at any time during the system's operation due to a variety of factors, including physical obstructions, other electronic devices, or atmospheric conditions.","The impact of the uncertainty is significant as it can lead to disruptions in the wireless communication, including loss of data packets, decreased data transmission speed, or complete loss of connection. Depending on the system, this could disrupt a wide range of services or operations.","MEDIUM - While this uncertainty can disrupt the wireless communication, there are potential solutions and workarounds, such as changing the transmission frequency or increasing the transmission power, though they may not always be effective or efficient.","In systems without self-adaptive capabilities, manual intervention might be required to manage this uncertainty, such as changing the transmission frequency or relocating the wireless devices. However, in self-adaptive systems, the system could potentially adjust its parameters automatically to mitigate the impact of the interference.
","Noise, Risk, Unpredictable Environment ","DELTAIOT - A mote causing a wireless interference in the system. Increasing the transmission power of the mote can solve the problem but can lead to an inefficient route. On the other hand, the mote's transmission power is unrelated to the problem that's caused by some other external reason. Again SAS can create misleading adaptations.
",,,,,,
13,Cost,Run-Time,"Cost uncertainty refers to the unpredictable variations in the operational expenses of a system throughout its lifespan. These fluctuations can be influenced by a wide range of internal and external factors. Internal factors may include changes in system components, shifts in operational strategies, or alterations in resource allocation. External factors could encompass market-driven changes in resource prices, regulatory shifts, or broader economic trends.","The unpredictability of operational costs can impose significant constraints on the adaptability and performance of a Self-Adaptive System. These cost fluctuations can affect various aspects of the system, including resource allocation, system scalability, and efficiency. The system may need to adjust its operational parameters, such as reducing resource usage or limiting scalability, to stay within budget constraints. This uncertainty also incentivizes the system to optimize resource usage and improve efficiency to mitigate the impact of cost fluctuations.","MEDIUM TO HIGH - The degree of severity of the uncertainty can range from moderate to high, depending on the extent of cost fluctuations and their impact on the system's primary objectives. Minor cost increases may lead to slight adjustments in resource usage, while substantial cost hikes could necessitate more drastic measures, such as reducing system scalability or accepting increased latency to remain within budget.","The uncertainty can have a significant impact on both Self-Adaptive Systems (SAS)  and non-SAS. Non-SAS may struggle to efficiently manage resources in response to cost fluctuations, leading to potential underutilization during periods of low demand and inadequate capacity during peak demand. In contrast, SAS have the potential to dynamically adjust resource usage in response to cost changes, reducing resource usage during low-demand periods and increasing capacity during high-demand periods to optimize performance and cost-efficiency.","Cost fluctuation, Cost of operation","SWIM - Assume the system is running with a given budget and the number of requests begins increasing. If the system has been under budget and has funds to spare, it can increase the number of servers in use to meet demand. However, if the SAS is aware that it is using as many resources as it can, given the cost and budget, it may have to instead scale back the dimmer to accommodate the increased demand. Alternatively, the SAS may ”gamble” and go over budget for a few time units, in hopes that the demand will die back down or that the costs will decrease and it will be able to ”recover” some of its losses by removing
servers after the peaks pass.",,,,,,
14,Unsatisfied Requirements,Requirements,"Unsatisfied Requirements uncertainty arises when any system fails to meet a specific requirement due to changes in its operational environment. These changes could be internal, such as alterations in system components or processes, or external, like shifts in user needs, regulatory standards, or environmental conditions.The uncertainty is inherent in any system that has defined requirements and operates in a dynamic environment where conditions can change over time. ","The impact of unsatisfied requirements can be significant, potentially compromising the system's functionality and its ability to achieve its intended goals. This can lead to partial or complete system dysfunction, rendering the system ineffective or even useless in certain cases. The degree of impact largely depends on the nature of the unfulfilled requirement and its relevance to the system's core functionality.","MEDIUM TO HIGH - The degree of severity of unsatisfied requirements can range from medium to high, depending on the nature and importance of the unfulfilled requirement. If the requirement is essential to the system's core functionality or safety, its non-fulfillment can lead to serious consequences, potentially rendering the system impractical or unreliable. On the other hand, if the requirement is not critical to the system's operation, its non-fulfillment may only result in partial loss of functionality.","The ability of a system to handle unsatisfied requirements uncertainty largely depends on its adaptability. Self-Adaptive Systems (SAS), equipped with mechanisms to adapt to unanticipated events and environmental changes, are generally more capable of addressing this type of uncertainty. They can monitor system state and property values over time, recognize potential requirement non-fulfillment, and execute mitigation strategies to meet the requirements. Non-self-adaptive systems, on the other hand, may struggle to overcome such challenges due to their lack of adaptability. The effectiveness of the mitigation strategies in ensuring system reliability and safety is a key quality metric in evaluating the system's handling of unsatisfied requirements uncertainty.","Non-compliant Requirements, Unaccomplished Requirements","DRAGONFLY - Consider a scenario where the system experiences widespread connection issues in the area, resulting in a poor connection for a certain period of time. In normal operation, the drone would initiate the ""Return to Home"" function due to the poor connection, indicating that the package delivery cannot be completed. This failure to fulfill the requirement GR1 results in an incomplete delivery. However, if the connection issue is temporary or limited to a specific location, and the drone waits for instructions, it could successfully deliver the package, thereby fulfilling the requirement. To address such extreme situations, the ""Glide"" function was developed to increase the chances of payload delivery while waiting for the connection to recover.","AMELIA - Consider a requirement that states, ""Each hospital has a taxi less than 10 minutes away."" This requirement ensures that if there is a person who needs emergency treatment and requires a taxi to reach the hospital, the taxi must arrive within 10 minutes. If this requirement is unsatisfied, patients may miss out on timely treatment, putting their lives at risk and causing a negative impact on society.",,,,,
15,Missing Requirements,Requirements,"Missing Requirements uncertainty arises when the specification of a system is not exhaustive, failing to cover all functional and non-functional criteria that the system is expected to meet during operation. This uncertainty often manifests during the requirements elicitation process, regardless of the system in question. It is a universal issue that can occur in any system where the specification is incomplete or lacks comprehensive detail.","The impact of uncertainty is significant and multifaceted. It can lead to unsatisfactory requirements, complex and difficult-to-interpret relationships between requirements, and fluctuating requirements. A system is unlikely to fulfill a requirement that it was not designed to meet, leading to suboptimal performance. Furthermore, once a requirement is identified as missing, the system specification must be updated, which can lead to additional time, effort, and potential system disruption.","HIGH - The  degree of severity of this uncertainty is high, as it can critically impair the operation of a system. A missing requirement can result in the system lacking essential inputs at its core, leading to suboptimal performance. This uncertainty can significantly affect the system's ability to function as intended.","The impact of Missing Requirements uncertainty can lead to design flaws and operational inefficiencies, as the system may not be equipped to handle unanticipated scenarios due to incomplete specifications. This can result in suboptimal performance and resource utilization. Furthermore, the need to update the system specification post-deployment to accommodate missing requirements can disrupt system operations, potentially leading to downtime and additional resource expenditure. Thus, this uncertainty can significantly compromise the adaptability and overall functionality of a system.",Incomplete requirements,"HADOOP - An improper configuration of the MARP variable can lead to a significant impact on Hadoop performance. Additionally, the proportional controller must also be adequately configured so that the Feedback control loop can maintain the MARP to hold the desired outcome of the experiment
","HOGNA - When we need to extract some metrics from the instances, the cloud providers only offer some general metrics, like the CPU utilization and number of virtual machines, whereas there are lacks of some useful metrics. Moreover, some metrics are algorithm-dependent and need custom code to handle, in this case, the missing requirements will make the algorithm cannot work and the system fail.",,,,,
16,Doubt,Requirements,"Doubt uncertainty arises when there is a concern about the validity or effectiveness of certain requirements or assumptions in a system. This can occur in any system where the effectiveness of strategies, methodologies, or assumptions is tested through experiments or real-world application. The source of this uncertainty is often the unexpected results or outcomes that challenge the initial assumptions or requirements.","The impact of uncertainty is that it can lead to a re-evaluation of the system's requirements or assumptions. This is because the unexpected outcomes challenge the initial understanding of the system's behavior, leading to doubts about the validity of the requirements or assumptions. This can affect the system's performance, reliability, or other key attributes.","HIGH - The degree of severity of uncertainty can be relatively high, as it can lead to significant changes in the system's design, operation, or performance. This is especially true if the uncertainty leads to violations of system-level objectives or requirements.","Self-Adaptive Systems (SAS) are designed with mechanisms to self-adjust in response to real-time feedback, which can be beneficial in managing the uncertainty. This adaptability allows them to respond to unexpected outcomes, potentially mitigating impacts on system performance. Conversely, non-Self-Adaptive Systems, lacking this dynamic adaptability, may require manual intervention for adjustments, which can be less efficient and potentially lead to performance degradation. Therefore, the inherent adaptability of SAS can offer a more effective response to the uncertainty.",Incomplete Requirement,"K8 SCALAR - In the paper, experiments were conducted to validate reactive scaling and support for evaluation of complex autoscaling strategies. The result shows that 25% to 45% of the requests have a latency higher than 150 ms and therefore none of strategies are effective in guaranteeing SLO1. ",,,,,,
17,Changing Requirements,Requirements,"Changing Requirements uncertainty arises when the system's goals evolve or change over time due to various factors such as environmental changes, user experience, or new functionality requirements. This type of uncertainty can also be triggered by miscommunication between system components or an incomplete system that does not fully cover all functional and non-functional requirements. It is a dynamic form of uncertainty that can emerge at any point during the system's operation, requiring the system to adapt and modify its requirements in real-time.","The impact of  uncertainty is significant as it directly affects the system's functionality and performance. Since systems are typically not designed with changing requirements in mind, they must adapt in real-time to accommodate these changes. This adaptation can lead to complex interactions between existing and new requirements, potentially compromising the system's Quality of Service (QoS) and cost-effectiveness. Furthermore, changing requirements can lead to unsatisfiable requirements if the system was not initially designed to meet them. Once identified, these changing requirements necessitate modifications to the system's specifications to incorporate the new or missing requirements.","HIGH - The degree of severity for Changing Requirements uncertainty is high. While it may not directly lead to catastrophic failures or accidents, it can significantly compromise the system's mission or purpose if new goals are not recognized and addressed promptly. Therefore, the severity of this uncertainty lies somewhere between moderate and severe, depending on the specific context and the nature of the changing requirements."," The effectiveness of mitigating the Changing Requirements uncertainty hinges on a system's ability to adapt. Non-self-adaptive systems, once deployed, operate on a predefined set of requirements and lack the flexibility to accommodate changes, potentially leading to suboptimal performance or mission failure. In contrast, self-adaptive systems (SAS) are designed with mechanisms to monitor their operational context and adjust their behavior accordingly. While SAS may not directly evaluate their own requirements, their ability to respond to changes in the operational context can indirectly address the changing requirements, thereby enhancing their resilience and effectiveness in dynamic environments.","Ambiguous requirements, Requirements Interactions","UNDERSEA - In the context of the UNDERSEA system, an Unmanned Underwater Vehicle (UUV) may face changing requirements due to unexpected oceanic changes or vehicle alterations. If the system does not recognize these changes, the UUV may continue to operate under the previous requirements, leading to underperformance and inefficiency. For instance, the UUV might be tasked with a new surveillance mission in a previously uncharted area. If the system fails to adapt to this new requirement, the UUV might continue its old mission, wasting resources and time. Therefore, recognizing and adapting to changing requirements is crucial for the successful operation of the UUV and the fulfillment of its mission objectives.","TAS -Take the scenario of IVS vehicles using the service with changing requirements. When the vehicle malfunctions while not maintaining the minimum distance and the control system is rebooted, the system has no instructions to deal with these changing requirements, whether to stop or keep moving until the system is back online. As such, it is uncertain how the vehicle disengaging module should behave in this situation, as both behaviors are possible.",,,,,
18,New Goal,Requirements,"New Goal uncertainty arises when the existing objectives of a Self-Adaptive System are found to be insufficient or when the system's environment or user requirements evolve, necessitating the introduction of new goals. This can occur in any system where the initial set of goals or requirements may not fully address the evolving needs or expectations of the system's users or the changing conditions of the system's environment. The new goals may require the integration of previously unanticipated services or the adaptation of the system to new targets or tasks.","The emergence of new goals can have a significant impact on the operation and performance of a Self-Adaptive System. It may lead to a situation where the current configuration of the system, such as sensor combinations in a sensor-based system, may not be well-suited to meet the new goals. This mismatch can affect the system's ability to collect relevant data or perform its tasks effectively, thereby impacting the overall research or operational process.","MEDIUM TO HIGH - The severity of the impact of new goals on a SAS can vary widely, depending on the nature of the new goals and the flexibility of the system. In extreme cases, the system may need to integrate an entirely new set of services or undergo a significant redesign to support the new requirements. This could potentially disrupt the system's functionality and require substantial resources to implement.
","Despite the challenges posed by new goals, a Self-Adaptive System (SAS) has a distinct advantage over non-SAS in handling this type of uncertainty. A SAS is designed to adapt its operations and configurations automatically in response to changes in its goals or environment. Therefore, when new research or operational objectives arise, a SAS can adjust its settings, such as sensor combinations, to better align with the new goals. This adaptability can reduce data errors, improve efficiency, and enhance the accuracy of the system's outputs. In contrast, non-self-adaptive systems may require extensive manual intervention to adjust to new goals, leading to potential inaccuracies and inefficiencies.","New requirements, Extra requirements, Changing Requirements","TAS - When an alarm is triggered, users might require the system to do more than just send an ambulance. For example, they might want a caretaker to be called upon first if they are located nearby. In this case, a new goal creates the need for integrating a new service to accomplish this.","UNDERSEA - In the process of UUV monitoring, many times the detection target will change accordingly due to the influence of external environment or internal environment changes. At this time, the sensor combination often does not fit the existing research target because of the original setup, and the returned detection data cannot meet the research requirements. Based on these detection data, the researcher may get an inaccurate conclusion of the study.",,,,,
19,Ambiguous Requirement,Requirements,"
Ambiguous Requirement uncertainty arises when system specifications, evaluation criteria, or implementation details are not explicitly defined, leading to multiple interpretations. This uncertainty can pervade any system component where requirements are open-ended or unclear. It can occur in a situation where the same requirement can be understood differently by different stakeholders, leading to potential inconsistencies in system requirements, design, and overall objectives. This uncertainty, while not confined to any specific part of the system, can manifest its effects in system development and operation, leading to potential inconsistencies and challenges.","The impact of uncertainty is significant as it can lead to unfeasible or conflicting requirements, and ultimately, the creation of a system that does not meet its intended objectives. This ambiguity can result in different interpretations by different stakeholders, potentially leading to inconsistencies in the system's design and operation. Furthermore, it can result in systems that are prone to bugs or compatibility issues due to the lack of clarity in the requirements.","MEDIUM - The degree of severity of Ambiguous Requirement uncertainty is typically medium. While it can lead to significant issues in system design and operation, the system is usually still operational and capable of change.  depending on the specific context and the extent of the ambiguity in the requirements. However, the severity can vary depending on the specific context and the extent of the ambiguity in the requirements.","Self-Adaptive Systems (SAS) effectively manage ambiguous requirements by adjusting their behavior during runtime. They recognize multiple interpretations of a requirement and adapt to align with the most suitable one. This adaptability mitigates design inconsistencies, bugs, or failure to meet objectives that often result from ambiguous requirements in traditional systems. In contrast to SAS, non-SAS struggle with ambiguous requirements, as they can't dynamically interpret or adapt to them. This rigidity can lead to design inconsistencies, bugs, or failure to meet objectives.","Lack of specificity, Vague Requirement","TRAPP - As a sample illustration, we can present R5 and R6 that don't contain exact metrics and different people who work on the system will interpret them in different ways. ","HOGNA - If the analyze component needs to derive a custom performance model, the planning component will fail if the model contains unexpected conditions that are not included in the planning component, such as excessive CPU utilization.",,,,,
20,Application and Database Variation,Requirements,"Application and Database Variation uncertainty arises from the variability in the applications and databases used in a system. Different applications have different requirements and use cases, leading to variations in how they interact with the system. Similarly, databases can vary in their structure and functionality, such as SQL, OLTP, OLAP, etc., leading to differences in how data is stored, accessed, and managed. This variability can introduce uncertainty in the system's performance and behavior.","The variation in applications and databases can impact the implementation and operation of the system. Depending on the specific application or database in use, the system may need to adapt its processes and operations to accommodate these variations. This could lead to changes in the system's functionality, performance, and resource usage.
","MEDIUM TO HIGH - The severity of this uncertainty can vary widely depending on the extent of the application and database variation. In some cases, the system may need to significantly alter its operations, such as changing the proportion of read and write requests. In other cases, the system may need to reassess critical points and adjust its configuration to ensure optimal performance and resource usage.","The uncertainty stemming from application and database variation can significantly impact a system's operation and performance. Self-adaptive systems (SAS) can effectively manage this uncertainty by adapting to the varying requirements and use cases of different applications and databases. By dynamically adjusting its operations, such as read/write request patterns, a SAS can maintain optimal performance and efficient resource usage. In contrast, non-adaptive systems may struggle to accommodate these variations, potentially leading to inefficiencies, incorrect scaling, and wasted resources. Thus, the use of SAS can ensure judicious resource allocation and robust performance in the face of application and database variation.",Varying use-case scenarios,"K8SCALAR - Consider a system where the application's nature dictates the database requests. In the case of a Learning Management as a Service (LMaaS) application, the system predominantly makes write requests (95%) to the Cassandra database, with only a small fraction (5%) being read requests. However, if the system were servicing a video streaming application, the nature of requests would shift dramatically towards read-intensive operations. The autoscaling parameters would need to be adjusted accordingly to accommodate these differing use-case scenarios, illustrating the impact of application and database variation on system operations.",,,,,,
21,Risk,Design,"Risk refers to the uncertainty surrounding the potential negative consequences or effects of an activity on various aspects that humans value, such as healthcare, property, or the environment. In the case of a Self-Adaptive System, design risks arise from the uncertainty related to the impact of different factors on the system's performance. Risk assessment at the design level is a crucial risk management activity that aims to reduce uncertainty during the design process or product development, thereby minimizing the probability of hazards or losses.","Risk encompasses any situation that exposes the system to potential dangers. In the context of a self-adaptive system, there is a possibility that improper design decisions can lead to adverse outcomes. The improper design may result in the system lacking necessary functional requirements or implementing them incorrectly, which can have repercussions during execution. Since a self-adaptive system relies on its own execution to address uncertainties, it may not always find the most optimal solution to overcome obstacles, especially in dangerous situations. This increases the significance of addressing this uncertainty appropriately.","HIGH - The severity of design-related risk is typically high, as it directly influences the system's performance and reliability. The consequences can range from minor operational inefficiencies to catastrophic system failures, depending on the system's complexity and the environment it operates in. Therefore, addressing this uncertainty is crucial to ensure the system's robustness and resilience.","A self-adaptive system (SAS) possesses the capability to employ adaptive techniques by assessing environmental and system variables, enabling it to make informed decisions and adapt accordingly. It effectively addresses risks during flight if the associated uncertainties are appropriately managed. In contrast, a non-self-adaptive system lacks the ability to adapt and adjust its behavior in response to environmental changes. For instance, in the presence of strong winds, a non-self-adaptive system would be unable to modify its instructions and would continue flying towards its destination, leading to potential failures, deviations from the intended path, package loss, and damage. Consequently, it becomes evident that a SAS can execute a safe landing, ensuring the preservation of the package and the drone, while a non-SAS entity remains unable to alter its precarious situation. The solutions implemented to address this type of uncertainty are vital in ensuring the safety and functional operability of the drone.",Danger,"DRAGONFLY - To illustrate this risk in the context of our system, let's consider a scenario where the drone's battery level is low, but it still has sufficient time to reach its final destination. This situation creates a hazardous condition where the battery might deplete during flight, potentially causing the drone to break or fail to deliver the package. The lack of battery power and inability to communicate its location to the pilot's device pose significant risks, as both the drone and the payload become vulnerable to damage or loss. Consequently, the ""Safe Landing"" functionality is introduced. Furthermore, extreme circumstances, such as flying over water, present additional dangers as damage or loss could occur, making it challenging to locate the submerged drone. Additionally, strong winds can cause severe harm to both the device and the payload, necessitating the implementation of the ""Move Aside"" functionality. These scenarios address and mitigate the risks associated with this uncertainty, ensuring the safety of both the product and the drone. Meeting global requirement 2 (GR2) is crucial in this regard.",,,,,,
22,Misinformed Tradeoff Analysis,Design,"Misinformed Tradeoff Analysis uncertainty arises when design decisions are made based on misguided and subjective preferences. It occurs in systems where there is a lack of complete or accurate information, leading to decisions that may not reflect the optimal trade-offs. This is particularly prevalent in complex systems where various components or subsystems interact in intricate ways, making it challenging to fully understand the implications of design choices.
","The impact of the uncertainty can lead to suboptimal or inefficient system performance. This could manifest in various ways depending on the system, such as increased resource consumption, loss of data, or decreased system efficiency.","HIGH - The severity of this type of uncertainty is high because it directly affects the decision-making process, which in turn can significantly impact the performance and efficiency of the system.","In non-Self-Adaptive Systems, this type of uncertainty can only be mitigated through manual intervention, such as system administrators making adjustments based on their understanding of the system. In contrast, Self-Adaptive Systems can potentially mitigate this uncertainty by continuously collecting data about the system state and behavior, and using this information to adapt and optimize system performance.","Unexpected Management Choices, Partial Knowledge Uncertainty",DELTAIOT - A mote has more than one parent link getting the same packets. On mote spending more energy and less stable compared to the other. We should only use the other one for reaching the gateway. SAS cannot choose one over the other because the missing information over the subnets.,,,,,,
23,Inadequate Design,Design,"Inadequate design refers to the situation where a system's design does not fully satisfy the stated requirements or includes latent, unexpected behaviors. This can occur due to various constraints such as limited resources, time, or financial budget, which can lead to oversights or compromises in the design process. The design may not fully account for the complexity of the system's operational environment or the range of scenarios the system might encounter, leading to a design that is not robust or flexible enough to handle these situations effectively.","Inadequate design can lead to significant system errors and deviations from intended functionality. It can result in a flawed system architecture, preventing the system from meeting its requirements. This can compromise the system's adaptability, affecting its ability to respond to changes in its environment or operational conditions, thereby impacting overall performance and goal achievement.","HIGH - The severity of this source of uncertainty is typically high. An inadequate design can seriously impact the functionality of a system, hindering its operation and preventing it from performing necessary actions or adaptations. This can endanger the completion of its goals and compromise its overall performance.","Self-adaptive systems, with their inherent ability to adjust behavior based on changing requirements, are typically more resilient to this uncertainty. In contrast, non-self-adaptive systems, lacking this flexibility, may struggle to meet evolving requirements, thereby failing to mitigate the impacts of inadequate design.",Incomplete Design,"DRAGONFLY - A crucial aspect of a drone-based SAS system is the ability to adapt drone behavior based on events occurring in the system's context and environment. Specifically, the system should be designed to ensure that all defined requirements are satisfied and that no previously unobserved behavior emerges. However, the use of aspect-oriented programming to facilitate the alteration of drone behavior when facing exceptional environmental situations introduces challenges to the completeness of the system design. For example, an aspect that overrides a drone's behavior and instructs it to move aside when specific environmental conditions occur could potentially violate the drone's local safety requirement of maintaining a safe distance from other objects in its environment. Consequently, property damage could occur, such as in the case of a collision between drones. Such an inadequate design, which leads to the violation of system requirements, results in reduced safety and reliability of the SAS system.","K8SCALAR - The 'K8-Scalar' paper posits that without comprehensive design requirements, the system's underlying behavior may not fully satisfy or encompass the intended behavior, and high-level Service Level Objectives (SLOs) may not map accurately to resource metrics. To prevent SLO violations using resource-level metrics, the paper details experiments conducted to find correlations between Quality of Service (QoS) metrics and resource-level metrics. This experimental design aims to enhance the reliability of the Self-Adaptive System (SAS) and provide additional flexibility for system operations.","TAS - Take the scenario of IVS vehicles using the service with inadequate decision. The adaptive control design of McUmber and Cheng cruise is based on the minimum distance standards set by industry. Reusing this design leads to reduce implementation efforts but also means that other designs are not explored such as in another design, the minimum safe distance between the IVS and another vehicle can be increased which reduces the propability of collision. ",,,,
24,Unexplored Alternatives,Design,"Unexplored Alternative uncertainty occurs when developers, restricted by time, budget, or other resources, find themselves unable or not ready to think about every possible design and the necessary trade-offs to meet a particular set of needs. This issue often crops up due to a variety of practical hurdles, making it difficult to fully probe all likely development paths. As a result, the key issue that arises is the lack of exploration of all design alternatives. This lack of exploration becomes the root cause of the uncertainty, potentially affecting the overall quality of the final product","The impact of this uncertainty can be significant. It can lead to a system design that is sub-optimal and fails to satisfy all functional and non-functional requirements. This can result in latent behaviors, inefficiencies, and ineffective resource management. In some cases, it can also lead to security concerns or impede effective system management.","MEDIUM - While the system can still function as designed, it may fail to satisfy its global requirements in certain special cases. This can lead to the need for additional functionalities or adjustments to be made.","Unexplored Alternatives uncertainty can significantly impact both self-adaptive and non-self-adaptive systems. However, self-adaptive systems can better manage this uncertainty by dynamically adjusting to demands, enhancing performance and throughput. They can identify more scenarios, making the system more operable and fault-tolerant. In contrast, non-self-adaptive systems, lacking these corrective measures, may become idle or underperform in certain scenarios, leading to potential losses. Therefore, self-adaptive systems generally exhibit superior effectiveness in handling Unexplored Alternatives uncertainty.",To be determined,"DRAGONFLY - Consider a scenario in which the drone's battery is low, and it is flying above water. Depending on the weather conditions and the presence or absence of strong winds, Wrapper 1 will call either the ""Safe Landing"" method or the ""Move Aside"" method. However, the system lacks functionality to handle the aftermath of this process. To ensure the delivery of the product according to GR1 and maintain the safety of both the product and the drone as per GR2, an additional Wrapper 4 is implemented, which invokes the NoneBoatWrapper. When a safe landing is executed, this wrapper ensures that a boat reaches the drone to catch it, preventing any loss to the product. Subsequently, the boat delivers the drone and the product to the specified destinations before returning to its source.","HOGNA - In the context of a Denial of Service (DoS) attack, the uncertainty can manifest when not all potential mitigation strategies are considered. For instance, a system might be designed to drop or redirect some requests as a countermeasure. However, other effective strategies such as rate limiting, IP filtering, or deploying additional resources might not be explored due to constraints or lack of foresight. This could lead to sub-optimal performance or even system failure under intense DoS attacks, highlighting the importance of considering all possible alternatives during the design phase.","MRUBIS - In the mRUBiS project, developers created a basic self-healing and self-optimization framework, focusing on a limited set of scenarios. While this approach was beneficial for early testing and small-scale projects, it overlooked alternative design solutions for larger, real-world environments. The utility function computation, environment model support, and evaluation metrics also need enhancement. The design, primarily tested on Java 8 and Ubuntu 16.04, requires thorough testing on varied technologies to prevent accidental adaptive solutions and catastrophic outcomes. Thus, the unexplored alternatives in design and testing could lead to sub-optimal performance in diverse scenarios.",,,,
25,Adaptation Tactic Latency,Design,"Adaptation Tactic Latency uncertainty arises during the execution of adaptation strategies in self-adaptive systems. This inherent delay, influenced by factors such as the complexity of the tactic, the system's current state, and its operational environment, holds significant relevance in the design phase. It has the potential to significantly impact system performance, particularly in real-time response systems where any delay can lead to suboptimal results or even system failures. Therefore, accounting for this latency during the design stage can greatly enhance the efficiency and effectiveness of the system.","The latency in executing adaptation tactics can significantly impact the performance and effectiveness of a self-adaptive system. This impact can manifest in various ways depending on the nature of the system and its operational context. For instance, in systems where real-time response is critical, such as autonomous vehicles or high-frequency trading systems, latency can lead to suboptimal performance or even system failures. In other contexts, such as cloud computing or data processing systems, latency can result in violations of service level agreements or inefficient resource utilization.","MEDIUM TO HIGH - The severity of the impact of Adaptation Tactic Latency can range from intermediate performance degradation to catastrophic system failure, depending on the system's operational context and the nature of its adaptation tactics. In systems where timely response is critical, the severity can be high, potentially leading to system shutdown or mission failure. In other contexts, the severity might be lower but can still result in significant performance degradation or inefficiencies.","The effectiveness of a Self-adaptive system in managing Adaptation Tactic Latency depends on several factors. These include the system's ability to anticipate and plan for latency, the speed at which it can execute adaptation tactics, and the system's overall design and operational context. In general, systems that can anticipate and plan for latency, and execute adaptation tactics quickly, are more effective in managing this uncertainty. However, the effectiveness can also be influenced by external factors, such as the need for manual intervention or the system's operational environment. In all cases, managing Adaptation Tactic Latency is a critical aspect of the design and operation of self-adaptive systems.","Time to Execute, Delayed Reaction","DARTSim - In the DARTSim exemplar, there are adaptation tactics that enable altering the altitude levels to address the required physical movements of the Unmanned Ariel Vehicles (UAVs). The tactic can be adapted immediately or in a timely manner (with latency). An immediate tactic produces its effect with no delay, whereas, the effect of a tactic with latency has a 1-period delay. Consequently, the execution time for adaptation tactic yields uncertainties in the overall mission.",,,,,,
